SKU,Product,Supplier,Supplier SKU,Supplier Product Name,Latest Price,Fixed Price
ABT1500DG,ROI-A9-RS-1500 Dark Green Refill Station,Roto Industries Pty Ltd,ABT1500DG,,183.89,183.89
ABT1500LB,ROI-A7-RS-1500 Light Blue Refill Station,Roto Industries Pty Ltd,ABT1500LB,,202.98,183.89
ABT1500LG,ROI-A4-RS-1500 Lime Green Refill Station,Roto Industries Pty Ltd,ABT1500LG,,183.89,183.89
ABT1500MB,ROI-B1-RS-1500 Mountain Blue Refill Station,Roto Industries Pty Ltd,ABT1500MB,,202.98,183.89
ABT1500MO,ROI-A1-RS-1500 Monument Refill Station,Roto Industries Pty Ltd,ABT1500MO,,202.98,183.89
ABT1500PU,ROI-B2-RS-1500 Purple Refill Station,Roto Industries Pty Ltd,ABT1500PU,,173.42,183.89
ABT1500SO,ROI-A6-RS-1500 Stock Orange Refill Station,Roto Industries Pty Ltd,ABT1500SO,,202.98,183.89
ABT1500SR,ROI-A3-RS-1500 Stock Red Refill Station,Roto Industries Pty Ltd,ABT1500SR,,183.89,183.89
ABT1500SW,ROI-B3-RS-1500 Stock White Refill Station,Roto Industries Pty Ltd,ABT1500SW,,176.04,183.89
ABT1500SY,ROI-A5-RS-1500 Stock Yellow Refill Station,Roto Industries Pty Ltd,ABT1500SY,,183.89,183.89
ABT1500TE,ROI-A8-RS-1500 Teal Refill Station,Roto Industries Pty Ltd,ABT1500TE,,183.89,183.89
ABWM - Water Meter,Water Meter and fittings,aquabubbler,,,,0.00
ABWM - Water Meter,Water Meter and fittings,Waterford Trading Production,,,0.00,0.00
All Valve - 533430H,Pressure Reducing Valve 3/8 ,All Valve Industries Pty. Ltd.,All Valve - 533430H,,36.75,36.75
All Valve Freight,Freight AB||04,All Valve Industries Pty. Ltd.,Freights Charge,,30.00,0.00
aqua- SF09R,Side Service Tap AB||12,aquabubbler,aqua- SF09R,,50.00,50.00
aqua- SF09R,Side Service Tap AB||12,Bredo Mators Pty. Ltd.,,,30.50,0.00
aqua- TF09R,Top Service Tap ,aquabubbler,aqua- TF09R,,50.00,50.00
aquacooler - UT1 3Lt tank,UT1 3Lt tank chilling capacity 25Lt/Hour,aquacooler PTY Limited,,,1049.00,0.00
aquacooler - WRS45 2 litre chiller,2 litre holding tank supplies 26litres of water an hour. 500W x 200D x 240H ,aquacooler PTY Limited,,,901.00,0.00
Art Work ,1.9mm Ployrop Panel Size - 1150mmx445mm Visible print area - 1100mmx422mm Finish - Gloss Anti Graffiti Laminate Single Sided AB||36,R & V Aqualine Industries,,,125.00,0.00
Art Work ,1.9mm Ployrop Panel Size - 1150mmx445mm Visible print area - 1100mmx422mm Finish - Gloss Anti Graffiti Laminate Single Sided AB||36,Southern Impact P/L trading as Peak Digital,PDAW,,125.00,21.88
