SKU,Product,Supplier,Supplier SKU,Supplier Product Name,Latest Price,Fixed Price
R199/W/1AB12/FL,1/2 BSP Equal Tee F/F/F 316 S/S,SP Valves,BSP E/T 1/2,316 BSP Equal Tee F/F/F CL150,3.56,3.1
R20/N/1AB12/ID,Printable Sticker Plate Internal Base - Mounting,PMS Lithography,PMSSIBM,Internal base-mounting plate Sticker_1_printable,1.04,0.77
R200/N/1AB12/FX,1/2 BSP Backing Nut 316 S/S,SP Valves,BSP B/N 1/2,316 BSP Backing Nut CL150,1.07,1.07
R201/N/1AB12/FX,1 BSP Backing Nut 316 S/S - (Tap Body Nut),SP Valves,BSP B/N 1,316 BSP Backing Nut CL150,2.0654,1.57
R202/N/24PSPA/FL,Sink Mesh Rosette Profile Plate for ABUA13,AG Holding,AQA1010-WC004,Sink Mesh Profile - SS 316 N4,4,3.9
R203/N/24PSPA/FL,Sink Mesh Under Plate for ABUA13,AG Holding,AQA1011-WC005,Sink Mesh Under Plate - SS 316 2B,0.6,0.55
R204/N/FX,Security Screwdriver T30 Post Torx,Ningbo Tango Tree Tools Co. Ltd.,R204/N/FX,Security Screwdriver T30 Post Torx,0.64,0.64
R205/N/1AB12/FX,Pop Rivets 3.2mm x 6.4mm Domed Head S/S,Micro Fasteners Pty. Ltd.,R00 402 STST,4-3 Dome Hd Rivet S/S (3.2 x 6.4),0.0997,0.0998
R206/N/21PFL/PT,Fountain Drain Polished,Beta Metal Spinning Co. Pty. Ltd.,304SSFD19P,Fountain Drain Polished,5.5,5.5
R207/N/21PFL/PT,Fountain Cone Polished,Beta Metal Spinning Co. Pty. Ltd.,,Fountain Cone Polished,5.5,5.5
R208/N/FL,1LTR Plastic Jerry Can,Plasdene Glass-Pak,PL-1LTR-125-NT,1LTR Natural HDPE Jerrycan 38mm T/Tel,1.2745,1.2745
R209/N/FL,38mm Jerry Can Cap,Plasdene Glass-Pak,CL-38-174-WT,38mm White PP Wadded T/Tel Cap,0.0754,0.0754
R21/N/1AB12/ID,Printable Sticker Plate Important Base - Mounting,PMS Lithography,PMSSIBM2,Important Base mounting plate sticker,1.04,0.77
R210/N/FL,P-Trap Micro Basin PVC 40mm,Tradelink Pty Ltd,113312,,11.196,8.8
R211/N/1ABWMR21/FX,ABWMR21 Wall Mounted Refill - Wall Bracket 1.2mm S/S,AG Holding,AQA1014,Wall Unit Mould Bracket V14,27.15,27.15
R212/N/FX,M6x16 Button Post Torx M/T 304 S/S,Cost Less Bolts,BHCSM616PTS,6x16 SS 304 Post Torx BHCS,0.78,0.25
R213/N/FX,#8x1 SS Countersunk Head Post Torx - Self Tapper,Cost Less Bolts,ST81CPTS,#8x1 SS CSK Post Torx STS,0.328,0.2985
R214/N/FX,M6x40mm Countersunk Post Torx Screw,Cost Less Bolts,FHCSM640PTS,NS 6x40mm SS FHCS Post Torx Bulk,0.7,0.7
R215/N/FX,M6x16mm Mushroom Head Phillips Button Screw,Cost Less Bolts,SMTC40M6016H,M6 x 16mm Mushroom Head Phillips - Button,0.6647,0.6
R216/N/FX,SS Rivet 4.8dia x 3.2grip dome head,Cost Less Bolts,RSTST62,CL STST6-2 All Stainless Steel Rivet [500] RD-STST62,0.34,0.34
R217/W/AV,OR019x3N70AS4020 O-Ring,BSC Motion Technology,10203888,O-Ring MET NBR D70 AS4020 19x3mm,0.3158,0.36
R218/W/7AFC/FL,Filter Cartridge Mini Carbon Block & Sediment Filter 10 Snaplock [Compact],BWT Australia,QC2533,10 snaplock cartridge 5 micron fibron activated carbon,29.16,27
R219/W/7AF0/FL,Filter Mini Snaplock Manual Head,BWT Australia,QCHMJZ22,1/4 Quick Connect in out Manual Head,16.2,15
R22/N/1AB12/FL,Bend Drain-Waste-Vent Plain F&F Polyvinyl Chloride 40mm x 88 Deg WMKA1305,Tradelink Pty Ltd,10091,BEND DWV PVC PLN F&F 40MM X 85D,1.53,1
R220/N/FX,Filter Mini Snaplock Mounting Bracket,BWT Australia,BT21P1,Snaplock Quick Connect Mounting Bracket,2.052,1.9
R221/N/FX,1mm x 19 strand S/S wire rope. 50M Roll,Low Cost Wire,28827-28830,1.0mm 1×19 G316 Stainless Steel Wire Rope,0.0202,0.0202
R222/W/LB,Molykote 100gram Dow Corning 111 Compound,BSC Motion Technology,100GM111,,29.31,25.11
R223/N/TRF223/AV,Top Tap Body Stainless Steel 304,BERKELEY ENGINEERING GROUP PTY LTD,BE-AQB001S,,51.4,49.8
R223/N/TRF223/AV,Top Tap Body Stainless Steel 304,Bredo Mators Pty. Ltd.,TF09 (09/001SS),,134.25,134.25
R224/N/TRF224/AV,Side Tap Body Stainless Steel 304,BERKELEY ENGINEERING GROUP PTY LTD,BE-AQB003S,SA-SF09 Bottle Filler Tap Body SS304,51.4,48.2
R225/N/1ABWR21/ID,Label Serial Number S/S Blank Plate A ( + hole ) - ABWR21,AG Holding,AQA1016,Serial Label A - 100 x 35 : SS 304 N4,16.75,0.85
R226/N/1AB12/ID,Label Serial Number S/S Blank Plate B ( - hole ) - AB12,AG Holding,AQA1017,Serial Label B - 100 x 35 : SS 304 N4,16.6,0.75
R227/W/FL,PR Limiting PSL 350KPA 15MM,Reliance Worldwide Corporation Pty. Ltd.,PSL511,,62.36,62.37
R228/W/FL,3/8 x 3/8 Male Connect BSPT,Reliance Worldwide Corporation Pty. Ltd.,PI011203S,,2.43,2.43
R229/N/FX,Serial Label Plate,AG Holding,AQA1019,Serial Label Plate - 72 p/sheet,6.8,6.8
R235/W/FL,Hex Connector Top S/S with O-Ring groove,BERKELEY ENGINEERING GROUP PTY LTD,BE-AQB005P,20/001 Hex Connector - Top SS304,7.6,7.1
R235/W/FL,Hex Connector Top S/S with O-Ring groove,Bredo Mators Pty. Ltd.,,Hex Connector Top Acetal with O-Ring groove,7.05,7.05
R236/W/FL,Hex Connector Side S/S with O-Ring groove,BERKELEY ENGINEERING GROUP PTY LTD,,,7.6,7.1
R236/W/FL,Hex Connector Side S/S with O-Ring groove,Bredo Mators Pty. Ltd.,,Hex Connector Side Acetal with O-Ring groove,6.95,6.95
R237/N/FX,Aluminium Rod 12mm x 4metre length,Ullrich Aluminium Pty Ltd,RDR12.00MI4L,12mm x 4m Aluminium Rod 6060T5 Temper,9.62,9.5
